# time_ps avg_intrachain_contacts
205400.000000 77.7431123166
205600.000000 77.4747535140
205800.000000 78.2884549014
206000.000000 79.1071024523
206200.000000 78.2446599190
206400.000000 78.8023686354
206600.000000 78.8635763385
206800.000000 80.7871389561
207000.000000 79.7273969196
207200.000000 78.2587386195
207400.000000 79.8266634899
207600.000000 78.5494770674
207800.000000 77.7675230215
208000.000000 79.1944302990
208200.000000 80.3437164740
208400.000000 78.3928017274
208600.000000 78.0440657595
208800.000000 79.1042485936
209000.000000 80.9907123125
209200.000000 79.2089525518
209400.000000 80.4472818290
209600.000000 77.7971784088
209800.000000 78.4986988331
210000.000000 81.0802519973
210200.000000 78.6473036410
210400.000000 78.4715202955
210600.000000 79.6422173694
210800.000000 78.8096216424
211000.000000 80.3680343103
211200.000000 79.8352513948
211400.000000 80.8781727813
211600.000000 82.9954411094
211800.000000 80.0121555078
212000.000000 80.4377084436
212200.000000 80.2878620950
212400.000000 81.3205349282
212600.000000 79.5332944663
212800.000000 80.0907440060
213000.000000 78.3077103343
213200.000000 78.8446069457
213400.000000 78.3850352132
213600.000000 79.5297674571
213800.000000 80.2666041773
214000.000000 78.2839107821
214200.000000 79.0938080925
214400.000000 77.9283595592
214600.000000 79.5010140094
214800.000000 78.5596756211
215000.000000 77.8859253448
215200.000000 79.2741454889
215400.000000 79.3856479276
215600.000000 78.2628705221
215800.000000 80.7217633533
216000.000000 79.3257296744
216200.000000 78.1342106264
216400.000000 78.6840777744
216600.000000 79.2419127684
216800.000000 77.0065809473
217000.000000 76.7441548457
217200.000000 76.9192370270
217400.000000 77.3977888168
217600.000000 76.6744451999
217800.000000 77.4141063097
218000.000000 78.1511011834
218200.000000 79.8766778425
218400.000000 77.5828077369
218600.000000 76.1984835457
218800.000000 75.9223650998
219000.000000 77.2190298514
219200.000000 77.8727725400
219400.000000 78.2975004835
219600.000000 78.5928319831
219800.000000 79.1227743357
220000.000000 82.1567356588
220200.000000 81.2511891170
220400.000000 79.6860810785
220600.000000 79.6113211066
220800.000000 80.8980804871
221000.000000 80.6525441692
221200.000000 81.9486350035
221400.000000 81.9418078653
221600.000000 80.9408611534
221800.000000 81.5658589831
222000.000000 82.1622027827
222200.000000 81.9629584285
222400.000000 81.8524346258
222600.000000 78.8376530484
222800.000000 78.4877577893
223000.000000 78.9954767528
223200.000000 77.9768311437
223400.000000 79.4457523556
223600.000000 79.3687994652
223800.000000 78.2357561076
224000.000000 77.2213587327
224200.000000 78.2911122058
224400.000000 76.8201096397
224600.000000 75.6955437895
224800.000000 78.6076112866
225000.000000 80.2180872996
225200.000000 80.1139178290
225400.000000 80.9714408298
225600.000000 80.1782605986
225800.000000 81.5586836917
226000.000000 80.4011379503
226200.000000 79.1004519061
226400.000000 79.5987492720
226600.000000 80.3213173411
226800.000000 79.0874070115
227000.000000 81.4403688147
227200.000000 83.8058118159
227400.000000 82.1851128318
227600.000000 80.2238488410
227800.000000 80.1924638952
228000.000000 81.2888476734
228200.000000 82.8608474692
228400.000000 80.1085755046
228600.000000 78.4063588077
228800.000000 80.7597717104
229000.000000 79.9571460214
229200.000000 78.2607228608
229400.000000 79.2420516084
229600.000000 78.6957205311
229800.000000 79.8225261281
230000.000000 79.4832943361
230200.000000 77.7822391800
230400.000000 77.0944712758
230600.000000 77.3845754016
230800.000000 76.9137087891
231000.000000 77.3859585901
231200.000000 78.3835921620
231400.000000 79.3692369115
231600.000000 78.7895620734
231800.000000 78.7501300779
232000.000000 80.8946676687
232200.000000 80.6084019440
232400.000000 80.7452074265
232600.000000 79.5449760386
232800.000000 79.8761232695
233000.000000 80.0989480197
233200.000000 80.8206290477
233400.000000 80.4795545034
233600.000000 84.1790098633
233800.000000 84.5786649589
234000.000000 83.4589147582
234200.000000 80.4505072063
234400.000000 81.4511397052
234600.000000 79.7210344704
234800.000000 78.3908659064
235000.000000 77.6977039674
235200.000000 78.5066740224
235400.000000 79.7602615963
235600.000000 78.5428482883
235800.000000 78.4396687060
236000.000000 77.6943602585
236200.000000 77.4873057081
236400.000000 78.0180317329
236600.000000 78.8806701664
236800.000000 78.8302507217
237000.000000 78.8739414890
237200.000000 77.9870772317
237400.000000 77.7745020697
